,brand,city_state,frequency,zip_list
120,Charlotte,"Memphis, TN",2,"[38118, 38126, 38103, 38104, 38105, 38106, 38107, 38108, 38109, 38111, 38112, 38114, 38115, 38116, 38117, 38119, 38120, 38122, 38125, 38127, 38128, 38131, 38132, 38133, 38134, 38135, 38141, 38152]"
121,Austin,"Mesquite, TX",2,"[75149, 75150, 75181]"
122,Austin,"Mission, TX",1,"[78572, 78573, 78574]"
123,Austin,"Palo Alto, CA",1,"[94301, 94303, 94304, 94306, 94305]"
124,Austin,"Pflugerville, TX",2,[78660]
125,Austin,"San Diego, CA",1,"[92101, 92102, 92103, 92104, 92105, 92106, 92107, 92108, 92109, 92110, 92111, 92113, 92114, 92115, 92116, 92117, 92119, 92120, 92121, 92122, 92123, 92124, 92126, 92127, 92128, 92129, 92130, 92131, 92132, 92134, 92135, 92139, 92140, 92145, 92147, 92154, 92155, 92037]"
126,San_Diego,"San Diego, CA",21,"[92101, 92102, 92103, 92104, 92105, 92106, 92107, 92108, 92109, 92110, 92111, 92113, 92114, 92115, 92116, 92117, 92119, 92120, 92121, 92122, 92123, 92124, 92126, 92127, 92128, 92129, 92130, 92131, 92132, 92134, 92135, 92139, 92140, 92145, 92147, 92154, 92155, 92037]"
127,Austin,"San Marcos, TX",2,[78666]
128,Austin,"Saratoga, CA",1,[95070]
129,Austin,"Tiffin, OH",1,[44883]
130,Charlotte,"Alexandria, VA",1,"[22301, 22302, 22303, 22304, 22305, 22306, 22307, 22308, 22309, 22310, 22311, 22312, 22314, 22315]"
131,Charlotte,"Asheville, NC",1,"[28801, 28803, 28804, 28805, 28806]"
132,Charlotte,"Charleston, SC",1,"[29401, 29403, 29406, 29407, 29409, 29412, 29414, 29404, 29423, 29424, 29492]"
133,Charlotte,"Denver, CO",1,"[80202, 80203, 80204, 80205, 80206, 80207, 80210, 80209, 80211, 80212, 80214, 80215, 80216, 80218, 80219, 80220, 80221, 80222, 80223, 80224, 80226, 80227, 80228, 80229, 80230, 80231, 80232, 80233, 80234, 80235, 80236, 80237, 80238, 80239, 80246, 80247, 80249, 80014, 80260, 80045, 80264, 80290, 80293, 80294]"
134,San_Diego,"Denver, CO",2,"[80202, 80203, 80204, 80205, 80206, 80207, 80210, 80209, 80211, 80212, 80214, 80215, 80216, 80218, 80219, 80220, 80221, 80222, 80223, 80224, 80226, 80227, 80228, 80229, 80230, 80231, 80232, 80233, 80234, 80235, 80236, 80237, 80238, 80239, 80246, 80247, 80249, 80014, 80260, 80045, 80264, 80290, 80293, 80294]"
135,Charlotte,"Gainesville, FL",1,"[32601, 32603, 32605, 32606, 32607, 32608, 32609, 32612, 32641, 32653]"
136,Charlotte,"Harrisburg, PA",1,"[17101, 17102, 17103, 17104, 17110, 17109, 17111, 17112, 17113, 17120]"
137,Charlotte,"Hickory, NC",1,"[28601, 28602]"
138,Charlotte,"Huntersville, NC",3,[28078]
139,Charlotte,"Indian Trail, NC",1,[28079]
140,Charlotte,"Knoxville, TN",1,"[37902, 37909, 37912, 37914, 37915, 37916, 37917, 37918, 37919, 37920, 37921, 37922, 37923, 37924, 37931, 37932, 37934, 37938]"
141,Charlotte,"Lakeland, FL",1,"[33801, 33803, 33805, 33813, 33809, 33810, 33811, 33812, 33815]"
142,Charlotte,"Las Vegas, NV",1,"[89101, 89102, 89103, 89104, 89119, 89106, 89107, 89108, 89109, 89110, 89142, 89113, 89115, 89117, 89118, 89120, 89121, 89122, 89123, 89124, 89128, 89129, 89130, 89131, 89134, 89135, 89144, 89138, 89139, 89141, 89143, 89145, 89146, 89147, 89148, 89149, 89156, 89161, 89166, 89169, 89178, 89179, 89183]"
